Country,Method,Phase,Mean,Standard Deviation
FRANCE,Signal based (incl. 4 phases),slowdown,0.0798,0.1509
BRAZIL,Signal based (incl. 4 phases),slowdown,0.0784,0.1348
BRAZIL,RS-Markov (incl. 6 phases),phase 5,0.0778,0.1005
US,Signal based (incl. 6 phases),recovery,0.0762,0.1073
FRANCE,Signal based (incl. 2 phases),expansion,0.0756,0.1382
JAPAN,RS-Markov (incl. 4 phases),phase 4,0.0738,0.1586
GERMANY,RS-Markov (incl. 4 phases),phase 2,0.0735,0.0918
FRANCE,RS-Markov (incl. 6 phases),phase 1,0.0726,0.0686
FRANCE,Wavelets (incl. 4 phases),expansion,0.0724,0.136
FRANCE,Signal based (incl. 4 phases),recovery,0.0712,0.1301
FRANCE,Signal based (incl. 4 phases),expansion,0.0709,0.1227
FRANCE,RS-Markov (incl. 6 phases),phase 5,0.0709,0.1844
UK,RS-Markov (incl. 4 phases),phase 4,0.0699,0.1191
FRANCE,Wavelets (incl. 4 phases),slowdown,0.0698,0.1649
UK,Signal based (incl. 4 phases),expansion,0.0692,0.0836
UK,RS-Markov (incl. 2 phases),phase 2,0.0678,0.1019
JAPAN,Signal based (incl. 4 phases),recovery,0.0669,0.1259
FRANCE,Signal based (incl. 6 phases),contraction,0.0663,0.1735
UK,Signal based (incl. 6 phases),double_dip,0.0658,0.1175
UK,Wavelets (incl. 4 phases),expansion,0.0649,0.0952
US,Signal based (incl. 4 phases),recovery,0.0643,0.1408
GERMANY,Signal based (incl. 4 phases),contraction,0.0637,0.1663
UK,RS-Markov (incl. 6 phases),phase 5,0.0621,0.1199
FRANCE,Signal based (incl. 2 phases),contraction,0.062,0.1688
FRANCE,RS-Markov (incl. 2 phases),phase 2,0.0617,0.177
GERMANY,RS-Markov (incl. 6 phases),phase 5,0.0614,0.1457
UK,Signal based (incl. 2 phases),expansion,0.0597,0.0909
FRANCE,Signal based (incl. 6 phases),slowdown,0.0591,0.1906
JAPAN,Signal based (incl. 6 phases),slowdown,0.0572,0.1454
US,Signal based (incl. 2 phases),contraction,0.0569,0.1423
US,Wavelets (incl. 4 phases),expansion,0.0557,0.096
JAPAN,Signal based (incl. 4 phases),expansion,0.0549,0.1471
UK,Signal based (incl. 6 phases),slowdown,0.0541,0.1168
FRANCE,Signal based (incl. 4 phases),contraction,0.0535,0.197
BRAZIL,Signal based (incl. 6 phases),expansion,0.0531,0.1141
FRANCE,RS-Markov (incl. 4 phases),phase 1,0.0518,0.1033
UK,Signal based (incl. 4 phases),slowdown,0.0517,0.0997
JAPAN,Wavelets (incl. 4 phases),contraction,0.0514,0.1259
GERMANY,Signal based (incl. 4 phases),expansion,0.051,0.1222
GERMANY,RS-Markov (incl. 4 phases),phase 3,0.0507,0.1709
UK,RS-Markov (incl. 4 phases),phase 2,0.0491,0.0924
GERMANY,Signal based (incl. 2 phases),expansion,0.0477,0.1367
US,Signal based (incl. 4 phases),contraction,0.0458,0.1443
JAPAN,RS-Markov (incl. 2 phases),phase 1,0.0432,0.1593
UK,Signal based (incl. 6 phases),expansion,0.0405,0.103
US,Signal based (incl. 6 phases),re-acceleration,0.0379,0.1023
JAPAN,Wavelets (incl. 4 phases),recovery,0.0369,0.1112
US,RS-Markov (incl. 6 phases),phase 3,0.0365,0.1239
UK,RS-Markov (incl. 6 phases),phase 1,0.036,0.057
GERMANY,RS-Markov (incl. 2 phases),phase 2,0.036,0.1707
GERMANY,Signal based (incl. 4 phases),slowdown,0.0351,0.1569
UK,Signal based (incl. 2 phases),contraction,0.0319,0.1226
GERMANY,Wavelets (incl. 4 phases),slowdown,0.0319,0.1537
JAPAN,Signal based (incl. 6 phases),contraction,0.0319,0.1422
JAPAN,Signal based (incl. 2 phases),contraction,0.0314,0.1398
FRANCE,Wavelets (incl. 4 phases),recovery,0.0307,0.0646
UK,Signal based (incl. 4 phases),recovery,0.0293,0.1288
UK,Wavelets (incl. 4 phases),slowdown,0.0281,0.1113
UK,Signal based (incl. 4 phases),contraction,0.0271,0.1151
UK,Signal based (incl. 6 phases),recovery,0.0242,0.0857
US,RS-Markov (incl. 4 phases),phase 2,0.0238,0.1085
MEXICO,Signal based (incl. 6 phases),double_dip,0.0229,0.0642
JAPAN,RS-Markov (incl. 4 phases),phase 2,0.018,0.1178
JAPAN,RS-Markov (incl. 6 phases),phase 2,0.0171,0.1134
JAPAN,Wavelets (incl. 4 phases),expansion,0.0169,0.1663
UK,Signal based (incl. 6 phases),contraction,0.0157,0.1299
GERMANY,Signal based (incl. 6 phases),re-acceleration,0.0157,0.1194
JAPAN,Signal based (incl. 2 phases),expansion,0.0142,0.1577
UK,RS-Markov (incl. 2 phases),phase 1,0.0113,0.1064
MEXICO,RS-Markov (incl. 4 phases),phase 1,0.0103,0.0514
MEXICO,RS-Markov (incl. 6 phases),phase 1,0.0103,0.0514
GERMANY,Signal based (incl. 6 phases),slowdown,0.0087,0.1865
JAPAN,RS-Markov (incl. 2 phases),phase 2,0.0051,0.135
JAPAN,Signal based (incl. 6 phases),expansion,0.0048,0.1585
UK,RS-Markov (incl. 4 phases),phase 1,0.0042,0.0656
BRAZIL,RS-Markov (incl. 4 phases),phase 1,0.0015,0.0536
BRAZIL,RS-Markov (incl. 6 phases),phase 1,0.0004,0.0374
JAPAN,Signal based (incl. 4 phases),contraction,-0.0026,0.1454
US,Signal based (incl. 6 phases),contraction,-0.0045,0.168
JAPAN,Signal based (incl. 6 phases),recovery,-0.0077,0.1552
JAPAN,Wavelets (incl. 4 phases),slowdown,-0.0092,0.1353
JAPAN,RS-Markov (incl. 4 phases),phase 1,-0.0101,0.1511
JAPAN,RS-Markov (incl. 6 phases),phase 1,-0.0186,0.1517
JAPAN,Signal based (incl. 4 phases),slowdown,-0.0279,0.1564
FRANCE,Signal based (incl. 6 phases),re-acceleration,-0.057,0.0922
JAPAN,Signal based (incl. 6 phases),double_dip,-0.1119,0.1212
